"date";"route";"stamp";"price_brl"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"794.07"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"914.39"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"952.88"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"1097.26"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"1639.43"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"1692.32"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"1866.84"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"1988.47"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"2432.71"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"2512.03"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"2660.11"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"2781.75"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"2929.82"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3009.15"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3062.04"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3284.15"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3337.04"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3363.48"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3405.79"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3511.56"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3633.19"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"3791.85"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"4003.39"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"4072.14"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"4341.85"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5071.67"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5140.42"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5367.82"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5489.46"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5595.23"
"2025-11-28";"GYN-ASU";"2025-11-14T01-36-49-898Z";"5822.63"
