airline,price_brl,price_label,departure,arrival
"Azul","494.91","R$ 494,91","06:00","11:59"
"Azul","494.91","R$ 494,91","15:05","18:45"
"Azul","629.91","R$ 629,91","15:05","18:45"
"Azul","1157.79","R$ 1.157,79","15:05","18:45"
"Azul","1212.21","R$ 1.212,21","15:05","18:45"
"Azul","1263.9","R$ 1.263,90","15:05","18:45"
"Azul","1265.11","R$ 1.265,11","15:05","18:45"
"Azul","1347.21","R$ 1.347,21","15:05","18:45"
"Azul","1373.41","R$ 1.373,41","15:05","18:45"
"Azul","1510.9","R$ 1.510,90","15:05","18:45"
"Azul","1894.9","R$ 1.894,90","15:05","18:45"
"Azul","3499","R$ 3.499,00","15:05","18:45"
