"date";"route";"stamp";"price_brl"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2186.78"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2199.9"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2227.39"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2399.9"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2527.89"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2699.88"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"2843.88"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"3479.85"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"3569.84"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"3665.44"
"2025-12-01";"UDI-CAC";"2025-11-12T13-06-37-277Z";"3760.24"
