"date";"route";"stamp";"price_brl"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"490.25"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"544.72"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"590.33"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"645.9"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"655.92"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"668.4"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"753.38"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"815.14"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"840.64"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"870.9"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"901.26"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"922.33"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1010.83"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1084.9"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1102.47"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1301.99"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1324.9"
"2025-12-03";"CAC-GYN";"2025-11-12T01-51-54-527Z";"1346.35"
