"date";"route";"stamp";"price_brl"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"709.22"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"710.92"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"816.77"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"823.41"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"872.9"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"907.73"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"908.36"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"914.09"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"944.91"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"979.86"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"980.93"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"992.73"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1047.9"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1070.26"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1078.25"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1080.63"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1124.44"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1153.94"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1166.72"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1232.9"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1261.09"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1271.43"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1279.3"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1299.51"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1349.56"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1371.25"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1421.01"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1443.89"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1480.6"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1523.18"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1561.88"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1606.15"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1662.54"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1669.03"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1715.5"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1737.54"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"1757.5"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2010.94"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2095.39"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2195.92"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2318.79"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2419.36"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2426.92"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"2783.55"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3097.85"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3439.51"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3499"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3508.32"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3527.98"
"2025-12-05";"IGU-BSB";"2025-11-13T15-32-06-544Z";"3641.15"
