"date";"route";"stamp";"price_brl"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"493.52"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"549.12"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"550.71"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"560.15"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"611.9"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"613.52"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"622.42"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"663.92"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"699.9"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"751.34"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"758.78"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"830.81"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"891.52"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"951.9"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"1025.06"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"1124.9"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"1161.05"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"1257.3"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"1354.43"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"3499"
"2025-12-09";"CAC-BSB";"2025-11-12T23-25-27-401Z";"3641.15"
