"date";"route";"stamp";"price_brl"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"1172.6"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"1605.72"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"1848.7"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"1996.59"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"2033.57"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"2128.64"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"2213.15"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"3163.91"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"5033.74"
"2025-12-25";"UDI-ASU";"2025-11-14T03-41-34-222Z";"5260.87"
