"date";"route";"stamp";"price_brl"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"722.48"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"726.68"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"775.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"789.44"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"842.87"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"842.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"874.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"898.08"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"958.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"964.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1019.46"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1048.77"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1095.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1150.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1200.08"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1204.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1234.66"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1289.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1294.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1354.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1398.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1488.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1623.85"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1687.55"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1745.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1854.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1894.78"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"1964.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2035.63"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2035.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2156.54"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2160.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2270.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2285.54"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2329.07"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2455.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2580.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2597.35"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2690.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"2754.33"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3014.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3063.41"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3065.27"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3077.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3104.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3131.89"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3139.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3158.89"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3209.49"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3242.06"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3254.64"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3269.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3270.5"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3277.04"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3298.93"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3327.37"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3450.9"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3499"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3569"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3589"
"2026-01-02";"BSB-IGU";"2025-11-13T04-23-18-122Z";"3641.15"
