"date";"route";"stamp";"price_brl"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1212.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1228.07"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1393.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1705.95"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1817.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1840.64"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"1931.77"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2094.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2186.78"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2203.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2313.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2554.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2679.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2789.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"2967.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3025.06"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3088.47"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3262.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3280.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3394.03"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3405.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3439.51"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3498.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3499"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3535.9"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3602.57"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3641.06"
"2026-01-02";"IGU-GYN";"2025-11-12T19-25-00-747Z";"3641.15"
