"date";"route";"stamp";"price_brl"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"712.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"741.85"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"798.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"824.7"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"836.76"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"897.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"906.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"962.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1005.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1085.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1212.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1228.07"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1313.95"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1322.28"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1393.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1411.31"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1433.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1542.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1632.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1705.95"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"1867.75"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2073.59"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2094.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2109.65"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2186.78"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2197.79"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2203.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2236.01"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2253.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2313.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2357.03"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2388.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2419.36"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2554.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2652.43"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2679.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2785.05"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2789.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2831.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2953.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"2982.94"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3025.06"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3078.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3088.47"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3208.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3226.5"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3280.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3295.79"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3324.44"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3353.1"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3405.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3451.04"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3481.04"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3499"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3511.05"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3535.9"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3539.88"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3569"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3589"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3641.06"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3641.15"
"2026-01-03";"GYN-IGU";"2025-11-12T16-17-57-490Z";"3728.68"
