"date";"route";"stamp";"price_brl"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"594.85"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"603.81"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"657.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"738.81"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"838.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"863.5"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"903.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"930.41"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1140.71"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1152.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1230.68"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1288.94"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1294.84"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1368.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1467.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1557.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1830.43"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"1966.51"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"2555.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"2609.84"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"2630.9"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"2758.07"
"2026-01-26";"UDI-IGU";"2025-11-14T14-40-42-713Z";"3601.66"
