"date";"route";"stamp";"price_brl"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"234.29"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"242.37"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"260.33"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"287.91"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"297.82"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"319.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"584.06"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"611.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"622.42"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"699.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"751.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"850.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"882.26"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"940.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"946.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"1055.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"1145.9"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"3499"
"2026-02-03";"BSB-CAC";"2025-11-12T21-57-37-841Z";"3641.15"
