date,route,stamp,airline,iata,stops,dep,arr,price_brl,all_prices_brl,source,screenshot
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,676.71,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,811.71,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,890.99,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,925.84,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,947.90,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1014.90,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1033.10,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1121.66,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1124.01,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1259.01,,,
2025-11-25,GYN-CAC,2025-11-11T02-02-57-218Z,,,,,,1263.90,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,846.81,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,925.84,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,947.90,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,968.31,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,1014.90,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,1033.10,,,
2025-11-28,GYN-CAC,2025-11-11T00-19-32-253Z,,,,,,1058.31,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,855.19,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,890.99,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,925.84,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1029.50,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1033.10,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1068.98,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1121.66,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1157.08,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1263.90,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1264.34,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1372.58,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1825.96,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1848.90,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,1894.90,,,
2025-11-29,GYN-CAC,2025-11-11T00-08-47-022Z,,,,,,3499.00,,,
