"date";"price_brl"
"2025-11-12";"2899.94"
"2025-11-12";"3022.87"
"2025-11-12";"3150.71"
"2025-11-12";"3499.00"
"2025-11-12";"3641.15"

"2025-11-13";"1568.49"
"2025-11-13";"1672.66"
"2025-11-13";"1795.59"
"2025-11-13";"1850.61"
"2025-11-13";"1903.76"
"2025-11-13";"2166.62"
"2025-11-13";"2720.32"
"2025-11-13";"2899.94"
"2025-11-13";"3022.87"
"2025-11-13";"3150.71"
"2025-11-13";"3277.04"
"2025-11-13";"3499.00"
"2025-11-13";"3641.15"

"2025-11-14";"1568.49"
"2025-11-14";"1618.29"
"2025-11-14";"1672.66"
"2025-11-14";"1720.00"
"2025-11-14";"1775.90"
"2025-11-14";"1795.59"
"2025-11-14";"1811.36"
"2025-11-14";"1832.95"
"2025-11-14";"1903.76"
"2025-11-14";"1955.88"
"2025-11-14";"1955.95"
"2025-11-14";"1987.78"
"2025-11-14";"2064.05"
"2025-11-14";"2118.56"
"2025-11-14";"2166.62"
"2025-11-14";"2324.90"
"2025-11-14";"2505.22"
"2025-11-14";"2674.90"
"2025-11-14";"2786.19"
"2025-11-14";"2974.90"
"2025-11-14";"3370.70"
"2025-11-14";"3499.00"
"2025-11-14";"3641.15"
"2025-11-14";"3745.20"

"2025-11-15";"1568.49"
"2025-11-15";"1618.29"
"2025-11-15";"1672.66"
"2025-11-15";"1720.00"
"2025-11-15";"1775.90"
"2025-11-15";"1795.59"
"2025-11-15";"1832.95"
"2025-11-15";"1903.76"
"2025-11-15";"1955.88"
"2025-11-15";"2064.05"
"2025-11-15";"2166.62"
"2025-11-15";"2925.49"
"2025-11-15";"3123.64"
"2025-11-15";"3277.04"
"2025-11-15";"3499.00"
"2025-11-15";"3641.15"

"2025-11-16";"1435.91"
"2025-11-16";"1530.07"
"2025-11-16";"1652.99"
"2025-11-16";"1720.00"
"2025-11-16";"1761.17"
"2025-11-16";"1832.95"
"2025-11-16";"1885.72"
"2025-11-16";"1955.88"
"2025-11-16";"2064.05"
"2025-11-16";"2166.62"
"2025-11-16";"2786.19"
"2025-11-16";"2974.90"
"2025-11-16";"3277.04"
"2025-11-16";"3499.00"
"2025-11-16";"3641.15"

"2025-11-17";"1435.91"
"2025-11-17";"1479.78"
"2025-11-17";"1530.07"
"2025-11-17";"1569.72"
"2025-11-17";"1623.90"
"2025-11-17";"1652.99"
"2025-11-17";"1761.17"
"2025-11-17";"3277.04"
"2025-11-17";"3499.00"
"2025-11-17";"3641.15"

"2025-11-18";"1183.48"
"2025-11-18";"1435.91"
"2025-11-18";"1479.78"
"2025-11-18";"1530.07"
"2025-11-18";"1623.90"
"2025-11-18";"1652.99"
"2025-11-18";"1675.05"
"2025-11-18";"1745.28"
"2025-11-18";"1761.17"
"2025-11-18";"2118.56"
"2025-11-18";"2324.90"
"2025-11-18";"3499.00"
"2025-11-18";"3641.15"

"2025-11-19";"1464.38"
"2025-11-19";"2118.56"
"2025-11-19";"2166.62"
"2025-11-19";"2324.90"
"2025-11-19";"3277.04"
