"date";"price_brl"
"2025-11-13";"1842.04"
"2025-11-13";"1981.82"
"2025-11-13";"2118.56"
"2025-11-13";"2324.90"
"2025-11-13";"3277.04"
"2025-11-13";"3499.00"
"2025-11-13";"3641.15"

"2025-11-14";"1438.02"
"2025-11-14";"1501.89"
"2025-11-14";"1612.26"
"2025-11-14";"1618.29"
"2025-11-14";"1709.39"
"2025-11-14";"1775.90"
"2025-11-14";"1946.88"
"2025-11-14";"1981.82"
"2025-11-14";"2603.87"
"2025-11-14";"2714.25"
"2025-11-14";"2829.04"
"2025-11-14";"3277.04"
"2025-11-14";"3499.00"
"2025-11-14";"3641.15"

"2025-11-15";"1438.02"
"2025-11-15";"1501.89"
"2025-11-15";"1612.26"
"2025-11-15";"1618.29"
"2025-11-15";"1709.39"
"2025-11-15";"1775.90"
"2025-11-15";"1807.10"
"2025-11-15";"2118.56"
"2025-11-15";"2324.90"
"2025-11-15";"3499.00"
"2025-11-15";"3641.15"

"2025-11-16";"1316.45"
"2025-11-16";"1373.85"
"2025-11-16";"1484.23"
"2025-11-16";"1581.36"
"2025-11-16";"2084.68"
"2025-11-16";"2118.56"
"2025-11-16";"2148.22"
"2025-11-16";"2156.54"
"2025-11-16";"2287.70"
"2025-11-16";"2324.90"
"2025-11-16";"2357.44"
"2025-11-16";"2505.22"
"2025-11-16";"2674.90"
"2025-11-16";"3499.00"
"2025-11-16";"3641.15"

"2025-11-17";"1479.78"
"2025-11-17";"1562.49"
"2025-11-17";"1618.29"
"2025-11-17";"1623.90"
"2025-11-17";"1702.27"
"2025-11-17";"1775.90"
"2025-11-17";"1807.10"
"2025-11-17";"2156.54"
"2025-11-17";"3499.00"
"2025-11-17";"3641.15"

"2025-11-18";"1178.11"
"2025-11-18";"1316.45"
"2025-11-18";"1373.85"
"2025-11-18";"1479.78"
"2025-11-18";"1484.23"
"2025-11-18";"1553.76"
"2025-11-18";"1581.36"
"2025-11-18";"1597.44"
"2025-11-18";"1618.29"
"2025-11-18";"1623.90"
"2025-11-18";"1702.27"
"2025-11-18";"1705.09"
"2025-11-18";"1775.90"
"2025-11-18";"3499.00"
"2025-11-18";"3641.15"

"2025-11-19";"1737.21"
"2025-11-19";"2505.22"
"2025-11-19";"2674.90"
"2025-11-19";"3277.04"
"2025-11-19";"3499.00"

"2025-11-20";"1479.78"
"2025-11-20";"1490.13"
"2025-11-20";"1527.55"
"2025-11-20";"1618.29"
"2025-11-20";"1623.90"
"2025-11-20";"1635.26"
"2025-11-20";"1702.27"
"2025-11-20";"1775.90"
"2025-11-20";"1842.04"
"2025-11-20";"3499.00"
"2025-11-20";"3641.15"

"2025-11-21";"1113.25"
"2025-11-21";"1161.05"
"2025-11-21";"1257.30"
"2025-11-21";"1354.43"
"2025-11-21";"1876.99"
"2025-11-21";"2118.56"
"2025-11-21";"2324.90"
"2025-11-21";"2505.22"
"2025-11-21";"2674.90"
"2025-11-21";"3499.00"
"2025-11-21";"3641.15"

"2025-11-22";"1294.62"
"2025-11-22";"1316.45"
"2025-11-22";"1373.85"
"2025-11-22";"1420.72"
"2025-11-22";"1484.23"
"2025-11-22";"1581.36"
"2025-11-22";"1618.29"
"2025-11-22";"1737.21"
"2025-11-22";"1775.90"
"2025-11-22";"2118.56"
"2025-11-22";"2324.90"
"2025-11-22";"2505.22"
"2025-11-22";"2674.90"
"2025-11-22";"3277.04"
"2025-11-22";"3499.00"
"2025-11-22";"3641.15"

"2025-11-23";"1870.46"
"2025-11-23";"1953.10"
"2025-11-23";"2063.48"
"2025-11-23";"2156.54"
"2025-11-23";"2178.27"
"2025-11-23";"2493.95"
"2025-11-23";"2603.87"
"2025-11-23";"2714.25"
"2025-11-23";"2829.04"
"2025-11-23";"3277.04"
"2025-11-23";"3499.00"
"2025-11-23";"3641.15"

"2025-11-24";"982.69"
"2025-11-24";"1078.93"
"2025-11-24";"1158.40"
"2025-11-24";"1309.34"
"2025-11-24";"1431.26"
"2025-11-24";"1453.34"
"2025-11-24";"1575.26"
"2025-11-24";"1876.99"
"2025-11-24";"2016.76"
"2025-11-24";"2099.49"
"2025-11-24";"2118.56"
"2025-11-24";"2156.54"
"2025-11-24";"2303.97"
"2025-11-24";"2324.90"
"2025-11-24";"2392.08"
"2025-11-24";"2493.95"
"2025-11-24";"2505.22"
"2025-11-24";"2523.84"
"2025-11-24";"2603.87"
"2025-11-24";"2674.90"
"2025-11-24";"2684.88"
"2025-11-24";"2714.25"
"2025-11-24";"2816.64"
"2025-11-24";"2829.04"
"2025-11-24";"2832.86"
"2025-11-24";"2879.90"
"2025-11-24";"2962.46"
"2025-11-24";"3033.50"
"2025-11-24";"3277.04"
"2025-11-24";"3499.00"
"2025-11-24";"3641.15"

"2025-11-25";"941.31"
"2025-11-25";"982.69"
"2025-11-25";"1025.06"
"2025-11-25";"1029.02"
"2025-11-25";"1078.93"
"2025-11-25";"1118.32"
"2025-11-25";"1124.90"
"2025-11-25";"1158.40"
"2025-11-25";"1171.82"
"2025-11-25";"1217.34"
"2025-11-25";"1238.32"
"2025-11-25";"1330.80"
"2025-11-25";"1335.90"
"2025-11-25";"1473.60"
"2025-11-25";"1479.78"
"2025-11-25";"1492.60"
"2025-11-25";"1597.44"
"2025-11-25";"1618.29"
"2025-11-25";"1623.90"
"2025-11-25";"1775.90"
"2025-11-25";"1876.99"
"2025-11-25";"2118.56"
"2025-11-25";"2156.54"
"2025-11-25";"2324.90"
"2025-11-25";"2360.72"
"2025-11-25";"2468.72"
"2025-11-25";"2505.22"
"2025-11-25";"2603.87"
"2025-11-25";"2674.90"
"2025-11-25";"2714.25"
"2025-11-25";"2829.04"
"2025-11-25";"2855.90"
"2025-11-25";"3008.22"
"2025-11-25";"3499.00"
"2025-11-25";"3641.15"

"2025-11-26";"622.32"
"2025-11-26";"684.55"
"2025-11-26";"715.67"
"2025-11-26";"742.32"
"2025-11-26";"800.63"
"2025-11-26";"816.55"
"2025-11-26";"836.11"
"2025-11-26";"853.67"
"2025-11-26";"891.52"
"2025-11-26";"932.35"
"2025-11-26";"933.50"
"2025-11-26";"951.90"
"2025-11-26";"1003.39"
"2025-11-26";"1011.82"
"2025-11-26";"1025.06"
"2025-11-26";"1038.33"
"2025-11-26";"1124.90"
"2025-11-26";"1217.34"
"2025-11-26";"1335.90"
"2025-11-26";"3499.00"
"2025-11-26";"3641.15"

"2025-11-27";"622.32"
"2025-11-27";"715.67"
"2025-11-27";"742.32"
"2025-11-27";"802.36"
"2025-11-27";"836.11"
"2025-11-27";"853.67"
"2025-11-27";"856.71"
"2025-11-27";"882.26"
"2025-11-27";"891.52"
"2025-11-27";"932.35"
"2025-11-27";"933.50"
"2025-11-27";"951.90"
"2025-11-27";"982.69"
"2025-11-27";"1011.82"
"2025-11-27";"1035.09"
"2025-11-27";"1038.33"
"2025-11-27";"1078.93"
"2025-11-27";"1158.40"
"2025-11-27";"1479.78"
"2025-11-27";"1623.90"
"2025-11-27";"2603.87"
"2025-11-27";"2714.25"
"2025-11-27";"2829.04"
"2025-11-27";"3499.00"
"2025-11-27";"3641.15"

"2025-11-28";"831.12"
"2025-11-28";"836.11"
"2025-11-28";"882.26"
"2025-11-28";"891.52"
"2025-11-28";"932.35"
"2025-11-28";"939.12"
"2025-11-28";"951.90"
"2025-11-28";"989.03"
"2025-11-28";"1011.82"
"2025-11-28";"1066.06"
"2025-11-28";"1117.55"
"2025-11-28";"1169.89"
"2025-11-28";"1213.05"
"2025-11-28";"1422.72"
"2025-11-28";"1431.26"
"2025-11-28";"1491.92"
"2025-11-28";"1575.26"
"2025-11-28";"1599.92"
"2025-11-28";"2016.76"
"2025-11-28";"2121.60"
"2025-11-28";"3499.00"
"2025-11-28";"3641.15"

"2025-11-29";"836.11"
"2025-11-29";"882.26"
"2025-11-29";"891.52"
"2025-11-29";"932.35"
"2025-11-29";"951.90"
"2025-11-29";"1011.82"
"2025-11-29";"1217.34"
"2025-11-29";"1319.62"
"2025-11-29";"1330.80"
"2025-11-29";"1335.90"
"2025-11-29";"1461.22"
"2025-11-29";"1473.60"
"2025-11-29";"1479.78"
"2025-11-29";"1623.90"
"2025-11-29";"1876.99"
"2025-11-29";"2118.56"
"2025-11-29";"2324.90"
"2025-11-29";"2786.19"
"2025-11-29";"2974.90"
"2025-11-29";"3499.00"
"2025-11-29";"3641.15"

"2025-11-30";"688.89"
"2025-11-30";"831.12"
"2025-11-30";"939.12"
"2025-11-30";"1373.85"
"2025-11-30";"1407.41"
"2025-11-30";"1448.44"
"2025-11-30";"1484.23"
"2025-11-30";"1549.01"
"2025-11-30";"1581.36"
"2025-11-30";"1618.29"
"2025-11-30";"1737.21"
