"date";"price_brl"
"2025-11-13";"1802.73"
"2025-11-13";"2094.67"
"2025-11-13";"2156.54"
"2025-11-13";"2217.54"
"2025-11-13";"2325.67"
"2025-11-13";"2455.43"
"2025-11-13";"2578.31"
"2025-11-13";"2686.44"
"2025-11-13";"2868.92"
"2025-11-13";"2959.40"
"2025-11-13";"3024.17"
"2025-11-13";"3104.90"
"2025-11-13";"3212.89"
"2025-11-13";"3253.51"
"2025-11-13";"3270.50"
"2025-11-13";"3277.04"
"2025-11-13";"3279.56"
"2025-11-13";"3342.58"
"2025-11-13";"3384.25"
"2025-11-13";"3439.51"
"2025-11-13";"3473.90"
"2025-11-13";"3477.37"
"2025-11-13";"3499.00"
"2025-11-13";"3508.32"
"2025-11-13";"3527.98"
"2025-11-13";"3641.15"

"2025-11-14";"1802.73"
"2025-11-14";"2156.54"
"2025-11-14";"2303.55"
"2025-11-14";"2959.40"
"2025-11-14";"2968.70"
"2025-11-14";"3104.90"
"2025-11-14";"3129.35"
"2025-11-14";"3158.89"
"2025-11-14";"3212.89"
"2025-11-14";"3239.89"
"2025-11-14";"3253.51"
"2025-11-14";"3254.64"
"2025-11-14";"3270.50"
"2025-11-14";"3277.04"
"2025-11-14";"3295.80"
"2025-11-14";"3327.37"
"2025-11-14";"3342.58"
"2025-11-14";"3384.25"
"2025-11-14";"3412.69"
"2025-11-14";"3439.51"
"2025-11-14";"3473.90"
"2025-11-14";"3499.00"
"2025-11-14";"3508.32"
"2025-11-14";"3527.98"
"2025-11-14";"3641.15"

"2025-11-15";"1444.96"
"2025-11-15";"1802.73"
"2025-11-15";"2156.54"
"2025-11-15";"2303.55"
"2025-11-15";"2868.92"
"2025-11-15";"2893.86"
"2025-11-15";"2959.40"
"2025-11-15";"3024.17"
"2025-11-15";"3050.46"
"2025-11-15";"3131.89"
"2025-11-15";"3215.40"
"2025-11-15";"3253.51"
"2025-11-15";"3270.84"
"2025-11-15";"3277.04"
"2025-11-15";"3293.89"
"2025-11-15";"3298.93"
"2025-11-15";"3389.40"
"2025-11-15";"3439.51"
"2025-11-15";"3447.84"
"2025-11-15";"3469.57"
"2025-11-15";"3473.90"
"2025-11-15";"3499.00"
"2025-11-15";"3508.32"
"2025-11-15";"3509.88"
"2025-11-15";"3527.98"
"2025-11-15";"3569.88"
"2025-11-15";"3641.15"
"2025-11-15";"3697.08"
"2025-11-15";"3760.28"

"2025-11-16";"1444.96"
"2025-11-16";"1802.73"
"2025-11-16";"1973.67"
"2025-11-16";"2111.87"
"2025-11-16";"2156.54"
"2025-11-16";"2398.43"
"2025-11-16";"2567.95"
"2025-11-16";"2744.18"
"2025-11-16";"2766.62"
"2025-11-16";"2788.05"
"2025-11-16";"2892.68"
"2025-11-16";"2969.90"
"2025-11-16";"3128.30"
"2025-11-16";"3277.04"
"2025-11-16";"3293.89"
"2025-11-16";"3439.51"
"2025-11-16";"3469.57"
"2025-11-16";"3473.90"
"2025-11-16";"3499.00"
"2025-11-16";"3508.32"
"2025-11-16";"3527.98"
"2025-11-16";"3641.15"

"2025-11-17";"857.95"
"2025-11-17";"1444.96"
"2025-11-17";"1802.73"
"2025-11-17";"1973.67"
"2025-11-17";"2111.87"
"2025-11-17";"2156.54"
"2025-11-17";"2398.43"
"2025-11-17";"2479.85"
"2025-11-17";"2567.95"
"2025-11-17";"2628.35"
"2025-11-17";"2638.10"
"2025-11-17";"2699.91"
"2025-11-17";"2741.90"
"2025-11-17";"2786.70"
"2025-11-17";"2788.05"
"2025-11-17";"2790.84"
"2025-11-17";"2824.28"
"2025-11-17";"2843.91"
"2025-11-17";"2899.57"
"2025-11-17";"2909.58"
"2025-11-17";"2959.40"
"2025-11-17";"2969.90"
"2025-11-17";"2976.90"
"2025-11-17";"2979.87"
"2025-11-17";"3037.37"
"2025-11-17";"3128.30"
"2025-11-17";"3254.64"
"2025-11-17";"3439.51"
"2025-11-17";"3499.00"
"2025-11-17";"3508.32"
"2025-11-17";"3527.98"
"2025-11-17";"3641.15"

"2025-11-18";"857.95"
"2025-11-18";"1036.83"
"2025-11-18";"1444.96"
"2025-11-18";"1802.73"
"2025-11-18";"1973.67"
"2025-11-18";"2156.54"
"2025-11-18";"2567.95"
"2025-11-18";"2592.58"
"2025-11-18";"2741.90"
"2025-11-18";"2747.83"
"2025-11-18";"2766.62"
"2025-11-18";"2786.70"
"2025-11-18";"2788.05"
"2025-11-18";"2790.84"
"2025-11-18";"2909.58"
"2025-11-18";"2959.40"
"2025-11-18";"2976.90"
"2025-11-18";"2979.87"
"2025-11-18";"3037.37"
"2025-11-18";"3104.90"
"2025-11-18";"3212.89"
"2025-11-18";"3215.29"
"2025-11-18";"3270.50"
"2025-11-18";"3277.04"
"2025-11-18";"3338.16"
"2025-11-18";"3384.25"
"2025-11-18";"3439.51"
"2025-11-18";"3465.95"
"2025-11-18";"3499.00"
"2025-11-18";"3508.32"
"2025-11-18";"3527.98"
"2025-11-18";"3641.15"

"2025-11-19";"1535.36"
"2025-11-19";"1802.73"
"2025-11-19";"1851.57"
"2025-11-19";"2118.56"
"2025-11-19";"2156.54"
"2025-11-19";"2173.24"
"2025-11-19";"2505.22"
"2025-11-19";"2741.90"
"2025-11-19";"2766.62"
"2025-11-19";"2786.19"
"2025-11-19";"2786.70"
"2025-11-19";"2788.05"
"2025-11-19";"2909.58"
"2025-11-19";"2959.40"
"2025-11-19";"2976.90"
"2025-11-19";"3037.37"
"2025-11-19";"3212.89"
"2025-11-19";"3215.29"
"2025-11-19";"3277.04"
"2025-11-19";"3338.16"
"2025-11-19";"3384.25"
"2025-11-19";"3439.51"
"2025-11-19";"3465.95"
"2025-11-19";"3499.00"
"2025-11-19";"3508.32"
"2025-11-19";"3527.98"
"2025-11-19";"3641.15"

"2025-11-20";"1255.60"
"2025-11-20";"1344.23"
"2025-11-20";"1377.90"
"2025-11-20";"1561.88"
"2025-11-20";"1669.03"
"2025-11-20";"1684.90"
"2025-11-20";"1757.50"
"2025-11-20";"1802.73"
"2025-11-20";"1820.41"
"2025-11-20";"1927.56"
"2025-11-20";"1987.22"
"2025-11-20";"2035.69"
"2025-11-20";"2111.87"
"2025-11-20";"2118.56"
"2025-11-20";"2173.24"
"2025-11-20";"2324.90"
"2025-11-20";"2384.90"
"2025-11-20";"2398.43"
"2025-11-20";"2431.48"
"2025-11-20";"2502.70"
"2025-11-20";"2505.22"
"2025-11-20";"2512.44"
"2025-11-20";"2635.32"
"2025-11-20";"2674.90"
"2025-11-20";"2743.45"
"2025-11-20";"2766.62"
"2025-11-20";"2780.62"
"2025-11-20";"2786.19"
"2025-11-20";"2786.70"
"2025-11-20";"2788.05"
"2025-11-20";"2909.58"
"2025-11-20";"2959.40"
"2025-11-20";"2974.90"
"2025-11-20";"2976.90"
"2025-11-20";"2977.87"
"2025-11-20";"3037.37"
"2025-11-20";"3215.29"
"2025-11-20";"3277.04"
"2025-11-20";"3338.16"
"2025-11-20";"3439.51"
"2025-11-20";"3465.95"
"2025-11-20";"3499.00"
"2025-11-20";"3508.32"
"2025-11-20";"3527.98"
"2025-11-20";"3641.15"

"2025-11-21";"1087.03"
"2025-11-21";"1255.60"
"2025-11-21";"1377.90"
"2025-11-21";"1535.36"
"2025-11-21";"1684.90"
"2025-11-21";"1851.57"
"2025-11-21";"2111.87"
"2025-11-21";"2118.56"
"2025-11-21";"2156.54"
"2025-11-21";"2173.24"
"2025-11-21";"2324.90"
"2025-11-21";"2384.90"
"2025-11-21";"2398.43"
"2025-11-21";"2505.22"
"2025-11-21";"2512.44"
"2025-11-21";"2635.32"
"2025-11-21";"2743.45"
"2025-11-21";"2766.62"
"2025-11-21";"2786.19"
"2025-11-21";"2786.70"
"2025-11-21";"2788.05"
"2025-11-21";"2909.58"
"2025-11-21";"2959.40"
"2025-11-21";"3004.45"
"2025-11-21";"3037.37"
"2025-11-21";"3150.25"
"2025-11-21";"3215.29"
"2025-11-21";"3239.89"
"2025-11-21";"3277.04"
"2025-11-21";"3338.16"
"2025-11-21";"3412.69"
"2025-11-21";"3439.51"
"2025-11-21";"3465.95"
"2025-11-21";"3499.00"
"2025-11-21";"3508.32"
"2025-11-21";"3527.98"
"2025-11-21";"3641.15"

"2025-11-22";"735.10"
"2025-11-22";"1000.16"
"2025-11-22";"1087.03"
"2025-11-22";"1123.48"
"2025-11-22";"1377.90"
"2025-11-22";"1535.36"
"2025-11-22";"1566.53"
"2025-11-22";"1684.90"
"2025-11-22";"1722.84"
"2025-11-22";"1802.73"
"2025-11-22";"1820.41"
"2025-11-22";"1851.57"
"2025-11-22";"1898.96"
"2025-11-22";"1927.56"
"2025-11-22";"2031.90"
"2025-11-22";"2035.69"
"2025-11-22";"2078.87"
"2025-11-22";"2111.87"
"2025-11-22";"2118.56"
"2025-11-22";"2156.54"
"2025-11-22";"2195.92"
"2025-11-22";"2318.79"
"2025-11-22";"2324.90"
"2025-11-22";"2377.59"
"2025-11-22";"2384.90"
"2025-11-22";"2398.43"
"2025-11-22";"2426.92"
"2025-11-22";"2505.22"
"2025-11-22";"2512.44"
"2025-11-22";"2627.13"
"2025-11-22";"2635.32"
"2025-11-22";"2638.10"
"2025-11-22";"2743.45"
"2025-11-22";"2785.08"
"2025-11-22";"2786.19"
"2025-11-22";"2786.70"
"2025-11-22";"2909.58"
"2025-11-22";"2919.03"
"2025-11-22";"2959.40"
"2025-11-22";"3037.37"
"2025-11-22";"3094.53"
"2025-11-22";"3254.64"
"2025-11-22";"3310.46"
"2025-11-22";"3439.51"
"2025-11-22";"3471.11"
"2025-11-22";"3499.00"
"2025-11-22";"3508.32"
"2025-11-22";"3527.98"
"2025-11-22";"3641.15"

"2025-11-23";"857.95"
"2025-11-23";"1123.48"
"2025-11-23";"1153.94"
"2025-11-23";"1232.90"
"2025-11-23";"1261.09"
"2025-11-23";"1349.56"
"2025-11-23";"1535.36"
"2025-11-23";"1566.53"
"2025-11-23";"1802.73"
"2025-11-23";"1820.41"
"2025-11-23";"1851.57"
"2025-11-23";"1927.56"
"2025-11-23";"2035.69"
"2025-11-23";"2095.26"
"2025-11-23";"2111.87"
"2025-11-23";"2118.56"
"2025-11-23";"2195.92"
"2025-11-23";"2318.79"
"2025-11-23";"2324.90"
"2025-11-23";"2426.92"
"2025-11-23";"2501.18"
"2025-11-23";"2505.22"
"2025-11-23";"2512.44"
"2025-11-23";"2635.32"
"2025-11-23";"2670.61"
"2025-11-23";"2699.91"
"2025-11-23";"2743.45"
"2025-11-23";"2788.05"
"2025-11-23";"2788.95"
"2025-11-23";"2843.91"
"2025-11-23";"2959.40"
"2025-11-23";"2969.90"
"2025-11-23";"3128.30"
"2025-11-23";"3239.89"
"2025-11-23";"3412.69"
"2025-11-23";"3439.51"
"2025-11-23";"3499.00"
"2025-11-23";"3508.32"
"2025-11-23";"3527.98"
"2025-11-23";"3641.15"
"2025-11-23";"7546.68"

"2025-11-24";"279.61"
"2025-11-24";"578.33"
"2025-11-24";"993.41"
"2025-11-24";"1123.48"
"2025-11-24";"1124.58"
"2025-11-24";"1141.44"
"2025-11-24";"1153.94"
"2025-11-24";"1169.56"
"2025-11-24";"1232.90"
"2025-11-24";"1234.13"
"2025-11-24";"1261.09"
"2025-11-24";"1278.91"
"2025-11-24";"1299.51"
"2025-11-24";"1349.56"
"2025-11-24";"1421.01"
