"date";"price_brl"
"2025-11-13";"2149.90"
"2025-11-13";"2150.30"
"2025-11-13";"2217.08"
"2025-11-13";"2314.71"
"2025-11-13";"2436.21"
"2025-11-13";"2974.90"
"2025-11-13";"3095.75"
"2025-11-13";"3499.00"
"2025-11-13";"3641.15"

"2025-11-14";"1634.17"
"2025-11-14";"1789.42"
"2025-11-14";"1795.10"
"2025-11-14";"2045.78"
"2025-11-14";"2149.90"
"2025-11-14";"2150.30"
"2025-11-14";"2205.70"
"2025-11-14";"2217.08"
"2025-11-14";"2674.90"
"2025-11-14";"2685.06"
"2025-11-14";"2783.55"
"2025-11-14";"2826.00"
"2025-11-14";"2946.57"
"2025-11-14";"3085.08"
"2025-11-14";"3499.00"
"2025-11-14";"3641.15"
"2025-11-14";"3745.20"

"2025-11-15";"1736.63"
"2025-11-15";"1781.93"
"2025-11-15";"1795.10"
"2025-11-15";"1891.88"
"2025-11-15";"1941.23"
"2025-11-15";"1941.32"
"2025-11-15";"2064.20"
"2025-11-15";"2149.90"
"2025-11-15";"2150.30"
"2025-11-15";"2191.99"
"2025-11-15";"2217.08"
"2025-11-15";"2674.90"
"2025-11-15";"2783.55"
"2025-11-15";"2974.90"
"2025-11-15";"3095.75"
"2025-11-15";"3131.89"
"2025-11-15";"3212.89"
"2025-11-15";"3298.93"
"2025-11-15";"3384.25"
"2025-11-15";"3499.00"
"2025-11-15";"3641.15"

"2025-11-16";"1795.10"
"2025-11-16";"1941.32"
"2025-11-16";"2064.20"
"2025-11-16";"2150.30"
"2025-11-16";"2191.99"
"2025-11-16";"2674.90"
"2025-11-16";"2783.55"
"2025-11-16";"3075.80"
"2025-11-16";"3212.89"
"2025-11-16";"3220.39"
"2025-11-16";"3384.25"
"2025-11-16";"3499.00"
"2025-11-16";"3641.15"

"2025-11-17";"1234.43"
"2025-11-17";"1382.93"
"2025-11-17";"1455.90"
"2025-11-17";"1501.39"
"2025-11-17";"1558.02"
"2025-11-17";"1801.90"
"2025-11-17";"2149.90"
"2025-11-17";"2205.70"
"2025-11-17";"2217.08"
"2025-11-17";"2384.65"
"2025-11-17";"2507.53"
"2025-11-17";"2635.32"
"2025-11-17";"3499.00"
"2025-11-17";"3641.15"

"2025-11-18";"1311.65"
"2025-11-18";"1455.90"
"2025-11-18";"1460.15"
"2025-11-18";"1501.39"
"2025-11-18";"1662.54"
"2025-11-18";"1697.38"
"2025-11-18";"2031.90"
"2025-11-18";"2095.39"
"2025-11-18";"2674.90"
"2025-11-18";"2783.55"
"2025-11-18";"2974.90"
"2025-11-18";"3095.75"
"2025-11-18";"3499.00"
"2025-11-18";"3641.15"

"2025-11-19";"1395.12"
"2025-11-19";"1418.97"
"2025-11-19";"1553.07"
"2025-11-19";"1579.62"
"2025-11-19";"1767.06"
"2025-11-19";"1801.90"
"2025-11-19";"2150.30"
"2025-11-19";"3212.89"
"2025-11-19";"3384.25"
"2025-11-19";"3499.00"
"2025-11-19";"3641.15"

"2025-11-20";"2115.12"
"2025-11-20";"2150.30"
"2025-11-20";"2259.70"
"2025-11-20";"3212.89"
"2025-11-20";"3384.25"
"2025-11-20";"3499.00"
"2025-11-20";"3641.15"

"2025-11-21";"1296.27"
"2025-11-21";"1365.90"
"2025-11-21";"1401.65"
"2025-11-21";"1408.58"
"2025-11-21";"1524.53"
"2025-11-21";"1632.66"
"2025-11-21";"2031.90"
"2025-11-21";"2095.39"
"2025-11-21";"2115.12"
"2025-11-21";"2149.90"
"2025-11-21";"2150.30"
"2025-11-21";"2217.08"
"2025-11-21";"2259.70"
"2025-11-21";"2384.65"
"2025-11-21";"2507.53"
"2025-11-21";"2635.32"
"2025-11-21";"2674.90"
"2025-11-21";"2783.55"
"2025-11-21";"2974.90"
"2025-11-21";"3095.75"
"2025-11-21";"3499.00"
"2025-11-21";"3641.15"

"2025-11-22";"1359.35"
"2025-11-22";"1365.90"
"2025-11-22";"1408.58"
"2025-11-22";"1455.90"
"2025-11-22";"1501.39"
"2025-11-22";"1513.25"
"2025-11-22";"1732.22"
"2025-11-22";"2031.90"
"2025-11-22";"2095.39"
"2025-11-22";"2149.90"
"2025-11-22";"2205.70"
"2025-11-22";"2217.08"
"2025-11-22";"2384.65"
"2025-11-22";"2507.53"
