"date";"price_brl"
"2025-11-14";"2150.30"
"2025-11-14";"2757.79"
"2025-11-14";"2781.98"
"2025-11-14";"2806.16"
"2025-11-14";"2911.69"
"2025-11-14";"2937.23"
"2025-11-14";"2962.76"
"2025-11-14";"2967.90"
"2025-11-14";"3006.48"
"2025-11-14";"3051.00"
"2025-11-14";"3088.47"
"2025-11-14";"3128.63"
"2025-11-14";"3158.89"
"2025-11-14";"3160.85"
"2025-11-14";"3174.96"
"2025-11-14";"3327.37"
"2025-11-14";"3437.41"
"2025-11-14";"3506.18"
"2025-11-14";"3509.88"
"2025-11-14";"3525.83"
"2025-11-14";"3641.15"
"2025-11-14";"3697.08"
"2025-11-14";"3745.20"

"2025-11-15";"2150.30"
"2025-11-15";"2967.90"
"2025-11-15";"3000.54"
"2025-11-15";"3071.78"
"2025-11-15";"3088.47"
"2025-11-15";"3122.42"
"2025-11-15";"3160.85"
"2025-11-15";"3211.51"
"2025-11-15";"3299.89"
"2025-11-15";"3353.73"
"2025-11-15";"3437.41"
"2025-11-15";"3475.89"
"2025-11-15";"3479.88"
"2025-11-15";"3506.18"
"2025-11-15";"3506.28"
"2025-11-15";"3525.83"
"2025-11-15";"3531.80"
"2025-11-15";"3641.15"
"2025-11-15";"3665.48"
"2025-11-15";"3692.45"

"2025-11-16";"2967.90"
"2025-11-16";"3088.47"
"2025-11-16";"3116.29"
"2025-11-16";"3160.85"
"2025-11-16";"3178.62"
"2025-11-16";"3212.89"
"2025-11-16";"3239.89"
"2025-11-16";"3242.90"
"2025-11-16";"3323.20"
"2025-11-16";"3384.25"
"2025-11-16";"3412.69"
"2025-11-16";"3437.41"
"2025-11-16";"3506.18"
"2025-11-16";"3525.83"
"2025-11-16";"3641.15"

"2025-11-17";"2150.30"
"2025-11-17";"2372.12"
"2025-11-17";"2527.37"
"2025-11-17";"2548.90"
"2025-11-17";"2652.43"
"2025-11-17";"2977.00"
"2025-11-17";"3088.47"
"2025-11-17";"3104.90"
"2025-11-17";"3236.90"
"2025-11-17";"3270.50"
"2025-11-17";"3359.70"
"2025-11-17";"3487.42"
"2025-11-17";"3499.00"
"2025-11-17";"3641.15"

"2025-11-18";"2150.30"
"2025-11-18";"2499.24"
"2025-11-18";"2548.90"
"2025-11-18";"2571.84"
"2025-11-18";"2652.43"
"2025-11-18";"2653.14"
"2025-11-18";"2676.32"
"2025-11-18";"2977.00"
"2025-11-18";"3088.47"
"2025-11-18";"3160.85"
"2025-11-18";"3236.90"
"2025-11-18";"3299.89"
"2025-11-18";"3359.70"
"2025-11-18";"3437.41"
"2025-11-18";"3475.89"
"2025-11-18";"3487.42"
"2025-11-18";"3499.00"
"2025-11-18";"3506.18"
"2025-11-18";"3525.83"
"2025-11-18";"3641.15"
"2025-11-18";"3745.20"

"2025-11-19";"2548.90"
"2025-11-19";"2652.43"
"2025-11-19";"2727.50"
"2025-11-19";"2838.31"
"2025-11-19";"2967.90"
"2025-11-19";"2977.00"
"2025-11-19";"3088.47"
"2025-11-19";"3236.90"
"2025-11-19";"3359.70"
"2025-11-19";"3487.42"
"2025-11-19";"3499.00"
"2025-11-19";"3641.15"

"2025-11-20";"1817.90"
"2025-11-20";"1874.72"
"2025-11-20";"2324.90"
"2025-11-20";"2419.36"
"2025-11-20";"2548.90"
"2025-11-20";"2652.43"
"2025-11-20";"2681.83"
"2025-11-20";"2709.69"
"2025-11-20";"2782.71"
"2025-11-20";"2819.76"
"2025-11-20";"2915.66"
"2025-11-20";"2967.90"
"2025-11-20";"2970.86"
"2025-11-20";"2977.00"
"2025-11-20";"3038.46"
"2025-11-20";"3088.47"
"2025-11-20";"3091.56"
"2025-11-20";"3160.85"
"2025-11-20";"3166.17"
"2025-11-20";"3236.90"
"2025-11-20";"3359.70"
"2025-11-20";"3437.41"
"2025-11-20";"3487.42"
"2025-11-20";"3499.00"
"2025-11-20";"3506.18"
"2025-11-20";"3525.83"
"2025-11-20";"3641.15"

"2025-11-21";"1817.90"
"2025-11-21";"1874.72"
"2025-11-21";"2150.30"
"2025-11-21";"2324.90"
"2025-11-21";"2350.47"
"2025-11-21";"2419.36"
"2025-11-21";"2445.97"
"2025-11-21";"2652.43"
"2025-11-21";"2681.83"
"2025-11-21";"2752.81"
"2025-11-21";"2761.20"
"2025-11-21";"2898.61"
"2025-11-21";"2915.66"
"2025-11-21";"2977.00"
"2025-11-21";"3038.46"
"2025-11-21";"3088.47"
"2025-11-21";"3160.85"
"2025-11-21";"3166.17"
"2025-11-21";"3236.90"
"2025-11-21";"3242.90"
"2025-11-21";"3359.70"
"2025-11-21";"3437.41"
"2025-11-21";"3487.42"
"2025-11-21";"3499.00"
"2025-11-21";"3506.18"
"2025-11-21";"3525.83"
"2025-11-21";"3641.15"

"2025-11-22";"846.72"
"2025-11-22";"978.37"
"2025-11-22";"1075.62"
"2025-11-22";"1154.22"
"2025-11-22";"1817.90"
"2025-11-22";"1874.72"
"2025-11-22";"1908.79"
"2025-11-22";"1968.43"
"2025-11-22";"2140.90"
"2025-11-22";"2150.30"
"2025-11-22";"2273.63"
"2025-11-22";"2290.90"
"2025-11-22";"2324.90"
"2025-11-22";"2343.49"
"2025-11-22";"2383.02"
"2025-11-22";"2419.36"
"2025-11-22";"2432.93"
"2025-11-22";"2438.69"
"2025-11-22";"2440.63"
"2025-11-22";"2479.84"
"2025-11-22";"2586.92"
"2025-11-22";"2611.63"
"2025-11-22";"2652.43"
"2025-11-22";"2681.83"
"2025-11-22";"2746.22"
"2025-11-22";"2874.36"
"2025-11-22";"2915.66"
"2025-11-22";"3038.46"
"2025-11-22";"3051.36"
"2025-11-22";"3088.47"
"2025-11-22";"3160.85"
"2025-11-22";"3166.17"
"2025-11-22";"3437.41"
"2025-11-22";"3506.18"
"2025-11-22";"3525.83"
"2025-11-22";"3641.15"
"2025-11-22";"3745.20"

"2025-11-23";"1393.90"
"2025-11-23";"1437.45"
"2025-11-23";"1817.90"
"2025-11-23";"1874.72"
"2025-11-23";"1908.79"
"2025-11-23";"1968.43"
"2025-11-23";"2044.71"
"2025-11-23";"2150.30"
"2025-11-23";"2166.21"
"2025-11-23";"2249.01"
"2025-11-23";"2320.88"
"2025-11-23";"2324.90"
"2025-11-23";"2370.51"
"2025-11-23";"2419.36"
"2025-11-23";"2523.68"
"2025-11-23";"2548.90"
"2025-11-23";"2579.31"
"2025-11-23";"2646.48"
"2025-11-23";"2652.43"
"2025-11-23";"2700.81"
"2025-11-23";"2754.55"
"2025-11-23";"2967.90"
"2025-11-23";"2977.00"
"2025-11-23";"3088.47"
"2025-11-23";"3113.32"
"2025-11-23";"3160.85"
"2025-11-23";"3236.90"
"2025-11-23";"3239.79"
"2025-11-23";"3359.70"
"2025-11-23";"3437.41"
"2025-11-23";"3487.42"
"2025-11-23";"3499.00"
"2025-11-23";"3506.18"
"2025-11-23";"3525.83"
"2025-11-23";"3641.15"

"2025-11-24";"966.92"
"2025-11-24";"1082.35"
"2025-11-24";"1221.37"
"2025-11-24";"1244.46"
"2025-11-24";"1367.17"
"2025-11-24";"1393.90"
"2025-11-24";"1437.45"
"2025-11-24";"1558.02"
"2025-11-24";"1592.86"
"2025-11-24";"1636.11"
"2025-11-24";"1684.90"
"2025-11-24";"1737.54"
"2025-11-24";"1757.61"
"2025-11-24";"1817.90"
"2025-11-24";"1874.72"
"2025-11-24";"2150.30"
"2025-11-24";"2320.88"
"2025-11-24";"2324.90"
"2025-11-24";"2419.36"
"2025-11-24";"2523.68"
"2025-11-24";"2607.36"
"2025-11-24";"2646.48"
"2025-11-24";"2652.43"
"2025-11-24";"2655.10"
"2025-11-24";"2681.83"
"2025-11-24";"2752.81"
"2025-11-24";"2754.55"
"2025-11-24";"2898.61"
