"date";"price_brl"
"2025-11-13";"2150.30"
"2025-11-13";"2629.71"
"2025-11-13";"2651.31"
"2025-11-13";"2778.90"
"2025-11-13";"2943.91"
"2025-11-13";"3439.51"
"2025-11-13";"3473.90"
"2025-11-13";"3499.00"
"2025-11-13";"3508.32"
"2025-11-13";"3527.98"
"2025-11-13";"3680.18"
"2025-11-13";"3706.75"

"2025-11-14";"2150.30"
"2025-11-14";"2699.91"
"2025-11-14";"2778.90"
"2025-11-14";"2843.91"
"2025-11-14";"2868.92"
"2025-11-14";"2943.91"
"2025-11-14";"3024.17"
"2025-11-14";"3103.06"
"2025-11-14";"3128.54"
"2025-11-14";"3179.61"
"2025-11-14";"3439.51"
"2025-11-14";"3473.90"
"2025-11-14";"3499.00"
"2025-11-14";"3508.32"
"2025-11-14";"3527.98"
"2025-11-14";"3680.18"
"2025-11-14";"3705.93"
"2025-11-14";"3706.75"
"2025-11-14";"3812.68"

"2025-11-15";"2150.30"
"2025-11-15";"2699.91"
"2025-11-15";"2778.90"
"2025-11-15";"2843.91"
"2025-11-15";"2943.91"
"2025-11-15";"2999.90"
"2025-11-15";"3076.76"
"2025-11-15";"3102.03"
"2025-11-15";"3159.90"
"2025-11-15";"3179.61"
"2025-11-15";"3439.51"
"2025-11-15";"3473.90"
"2025-11-15";"3477.37"
"2025-11-15";"3499.00"
"2025-11-15";"3508.32"
"2025-11-15";"3527.98"
"2025-11-15";"3680.18"
"2025-11-15";"3683.84"
"2025-11-15";"3706.75"
"2025-11-15";"3812.68"

"2025-11-16";"2150.30"
"2025-11-16";"2699.91"
"2025-11-16";"2778.90"
"2025-11-16";"2843.91"
"2025-11-16";"2943.91"
"2025-11-16";"3076.76"
"2025-11-16";"3102.03"
"2025-11-16";"3104.90"
"2025-11-16";"3179.61"
"2025-11-16";"3270.50"
"2025-11-16";"3439.51"
"2025-11-16";"3473.90"
"2025-11-16";"3499.00"
"2025-11-16";"3508.32"
"2025-11-16";"3527.98"
"2025-11-16";"3647.59"
"2025-11-16";"3680.18"
"2025-11-16";"3706.75"
"2025-11-16";"3780.92"

"2025-11-17";"1916.25"
"2025-11-17";"2031.00"
"2025-11-17";"2150.30"
"2025-11-17";"2254.41"
"2025-11-17";"2381.90"
"2025-11-17";"2389.41"
"2025-11-17";"2395.71"
"2025-11-17";"2523.33"
"2025-11-17";"2530.71"
"2025-11-17";"2577.28"
"2025-11-17";"2699.91"
"2025-11-17";"2741.90"
"2025-11-17";"2786.70"
"2025-11-17";"2843.91"
"2025-11-17";"2904.70"
"2025-11-17";"2909.58"
"2025-11-17";"2976.90"
"2025-11-17";"3037.37"
"2025-11-17";"3054.29"
"2025-11-17";"3153.67"
"2025-11-17";"3235.65"
"2025-11-17";"3706.75"

"2025-11-18";"2150.30"
"2025-11-18";"2381.90"
"2025-11-18";"2395.71"
"2025-11-18";"2523.33"
"2025-11-18";"2530.71"
"2025-11-18";"2577.28"
"2025-11-18";"2699.91"
"2025-11-18";"2741.90"
"2025-11-18";"2786.70"
"2025-11-18";"2843.91"
"2025-11-18";"2904.70"
"2025-11-18";"2909.58"
"2025-11-18";"2922.77"
"2025-11-18";"3037.37"
"2025-11-18";"3087.47"
"2025-11-18";"3153.67"
"2025-11-18";"3706.75"
"2025-11-18";"3812.68"

"2025-11-19";"2150.30"
"2025-11-19";"2577.28"
"2025-11-19";"2661.90"
"2025-11-19";"2699.91"
"2025-11-19";"2731.11"
"2025-11-19";"2740.53"
"2025-11-19";"2741.90"
"2025-11-19";"2786.70"
"2025-11-19";"2811.90"
"2025-11-19";"2843.91"
"2025-11-19";"2885.01"
"2025-11-19";"2904.70"
"2025-11-19";"2909.58"
"2025-11-19";"2976.90"
"2025-11-19";"2979.87"
"2025-11-19";"3037.37"
"2025-11-19";"3153.67"
"2025-11-19";"3156.81"
"2025-11-19";"3179.61"
"2025-11-19";"3439.51"
"2025-11-19";"3499.00"
"2025-11-19";"3508.32"
"2025-11-19";"3527.98"
"2025-11-19";"3706.75"

"2025-11-20";"1192.78"
"2025-11-20";"1289.59"
"2025-11-20";"1377.90"
"2025-11-20";"1396.74"
"2025-11-20";"1433.88"
"2025-11-20";"1485.21"
"2025-11-20";"1561.88"
"2025-11-20";"1669.03"
"2025-11-20";"1753.33"
"2025-11-20";"1757.50"
"2025-11-20";"1820.41"
"2025-11-20";"1927.56"
"2025-11-20";"2030.94"
"2025-11-20";"2035.69"
"2025-11-20";"2114.44"
"2025-11-20";"2150.30"
"2025-11-20";"2195.92"
"2025-11-20";"2318.79"
"2025-11-20";"2384.90"
"2025-11-20";"2426.92"
"2025-11-20";"2462.95"
"2025-11-20";"2526.50"
"2025-11-20";"2699.91"
"2025-11-20";"2719.83"
"2025-11-20";"2767.54"
"2025-11-20";"2833.71"
"2025-11-20";"2843.91"
"2025-11-20";"2873.73"
"2025-11-20";"2924.14"
"2025-11-20";"3439.51"
"2025-11-20";"3508.32"
"2025-11-20";"3527.98"
"2025-11-20";"3706.75"

"2025-11-21";"705.83"
"2025-11-21";"762.70"
"2025-11-21";"860.02"
"2025-11-21";"948.49"
"2025-11-21";"1192.78"
"2025-11-21";"1192.90"
"2025-11-21";"1241.36"
"2025-11-21";"1289.59"
"2025-11-21";"1377.90"
"2025-11-21";"1396.74"
"2025-11-21";"1433.88"
"2025-11-21";"1485.21"
"2025-11-21";"1683.12"
"2025-11-21";"1684.90"
"2025-11-21";"1753.33"
"2025-11-21";"1820.41"
"2025-11-21";"1927.56"
"2025-11-21";"2031.90"
"2025-11-21";"2035.69"
"2025-11-21";"2114.44"
"2025-11-21";"2150.30"
"2025-11-21";"2195.92"
"2025-11-21";"2318.79"
"2025-11-21";"2322.78"
"2025-11-21";"2384.90"
"2025-11-21";"2426.92"
"2025-11-21";"2462.95"
"2025-11-21";"2512.44"
"2025-11-21";"2513.51"
"2025-11-21";"2526.50"
"2025-11-21";"2635.32"
"2025-11-21";"2674.90"
"2025-11-21";"2699.91"
