"date";"price_brl"
"2025-11-14";"3284.15"
"2025-11-14";"3337.04"
"2025-11-14";"3363.48"
"2025-11-14";"3511.56"
"2025-11-14";"3633.19"
"2025-11-14";"3791.85"
"2025-11-14";"4050.99"
"2025-11-14";"4072.14"
"2025-11-14";"4823.11"
"2025-11-14";"5050.51"
"2025-11-14";"5806.77"
"2025-11-14";"8218.32"
"2025-11-14";"8445.73"

"2025-11-15";"1993.76"
"2025-11-15";"2141.84"
"2025-11-15";"2300.49"
"2025-11-15";"2353.38"
"2025-11-15";"2512.03"
"2025-11-15";"2617.80"
"2025-11-15";"2776.46"
"2025-11-15";"2781.75"
"2025-11-15";"2929.82"
"2025-11-15";"3009.15"
"2025-11-15";"3929.35"
"2025-11-15";"4050.99"
"2025-11-15";"5595.23"
"2025-11-15";"5806.77"
"2025-11-15";"5822.63"
"2025-11-15";"6272.16"
"2025-11-15";"6499.56"

"2025-11-16";"2300.49"
"2025-11-16";"2353.38"
"2025-11-16";"2512.03"
"2025-11-16";"2617.80"
"2025-11-16";"2776.46"
"2025-11-16";"2781.75"
"2025-11-16";"2929.82"
"2025-11-16";"6272.16"
"2025-11-16";"6499.56"
"2025-11-16";"8218.32"
"2025-11-16";"8445.73"
"2025-11-16";"10307.28"
"2025-11-16";"10534.69"

"2025-11-17";"3850.02"
"2025-11-17";"4199.06"
"2025-11-17";"4278.39"
"2025-11-17";"8218.32"
"2025-11-17";"8445.73"

"2025-11-18";"2300.49"
"2025-11-18";"2353.38"
"2025-11-18";"2379.82"
"2025-11-18";"2512.03"
"2025-11-18";"2617.80"
"2025-11-18";"2660.11"
"2025-11-18";"2776.46"
"2025-11-18";"2781.75"
"2025-11-18";"2929.82"
"2025-11-18";"3009.15"
"2025-11-18";"3850.02"
"2025-11-18";"5140.42"
"2025-11-18";"5367.82"
"2025-11-18";"5441.86"
"2025-11-18";"5648.11"

"2025-11-19";"2300.49"
"2025-11-19";"2353.38"
"2025-11-19";"2379.82"
"2025-11-19";"2512.03"
"2025-11-19";"2617.80"
"2025-11-19";"2660.11"
"2025-11-19";"2776.46"
"2025-11-19";"2781.75"
"2025-11-19";"2929.82"
"2025-11-19";"4072.14"
"2025-11-19";"4225.51"
"2025-11-19";"4341.85"
"2025-11-19";"5648.11"
"2025-11-19";"5806.77"
"2025-11-19";"7091.87"
"2025-11-19";"7319.28"
"2025-11-19";"8218.32"

"2025-11-20";"2300.49"
"2025-11-20";"2353.38"
"2025-11-20";"2512.03"
"2025-11-20";"2617.80"
"2025-11-20";"2776.46"
"2025-11-20";"2781.75"
"2025-11-20";"2929.82"
"2025-11-20";"4072.14"
"2025-11-20";"4146.18"
"2025-11-20";"4151.47"
"2025-11-20";"4341.85"
"2025-11-20";"4378.87"
"2025-11-20";"4500.51"
"2025-11-20";"4579.84"
"2025-11-20";"4627.43"
"2025-11-20";"4854.84"
"2025-11-20";"5140.42"
"2025-11-20";"5367.82"
"2025-11-20";"6161.10"
"2025-11-20";"6578.89"

"2025-11-21";"2512.03"
"2025-11-21";"2781.75"
"2025-11-21";"2929.82"
"2025-11-21";"3009.15"
"2025-11-21";"3284.15"
"2025-11-21";"3363.48"
"2025-11-21";"3511.56"
"2025-11-21";"3633.19"
"2025-11-21";"3791.85"
"2025-11-21";"4050.99"
"2025-11-21";"4061.56"
"2025-11-21";"4072.14"
"2025-11-21";"4241.37"
"2025-11-21";"4341.85"
"2025-11-21";"4627.43"
"2025-11-21";"4854.84"
"2025-11-21";"6578.89"

"2025-11-22";"1835.10"
"2025-11-22";"2062.51"
"2025-11-22";"2184.15"
"2025-11-22";"2490.88"
"2025-11-22";"2781.75"
"2025-11-22";"2919.25"
"2025-11-22";"2929.82"
"2025-11-22";"2972.13"
"2025-11-22";"3284.15"
"2025-11-22";"3337.04"
"2025-11-22";"3511.56"
"2025-11-22";"3633.19"
"2025-11-22";"3791.85"
"2025-11-22";"3887.04"
"2025-11-22";"4050.99"
"2025-11-22";"4278.39"
"2025-11-22";"4310.12"
"2025-11-22";"4997.63"
"2025-11-22";"5981.29"
"2025-11-22";"6526.00"
"2025-11-22";"7091.87"

"2025-11-23";"1671.16"
"2025-11-23";"1724.05"
"2025-11-23";"1909.14"
"2025-11-23";"1935.59"
"2025-11-23";"1999.05"
"2025-11-23";"2057.22"
"2025-11-23";"2194.72"
"2025-11-23";"2226.45"
"2025-11-23";"2702.42"
"2025-11-23";"2919.25"
"2025-11-23";"3284.15"
"2025-11-23";"3337.04"
"2025-11-23";"3511.56"
"2025-11-23";"3633.19"
"2025-11-23";"4072.14"
"2025-11-23";"6526.00"
"2025-11-23";"7319.28"
"2025-11-23";"8218.32"
"2025-11-23";"8445.73"
"2025-11-23";"10307.28"
"2025-11-23";"10534.69"

"2025-11-24";"1332.70"
"2025-11-24";"1385.58"
"2025-11-24";"1560.10"
"2025-11-24";"1681.74"
"2025-11-24";"1808.67"
"2025-11-24";"1909.14"
"2025-11-24";"1934.27"
"2025-11-24";"1993.76"
"2025-11-24";"2057.22"
"2025-11-24";"2141.84"
"2025-11-24";"2147.13"
"2025-11-24";"2279.34"
"2025-11-24";"2432.71"
"2025-11-24";"2485.59"
"2025-11-24";"2660.11"
"2025-11-24";"2781.75"
"2025-11-24";"2850.50"
"2025-11-24";"3009.15"
"2025-11-24";"3146.65"
"2025-11-24";"3284.15"
"2025-11-24";"3363.48"
"2025-11-24";"3511.56"
"2025-11-24";"3633.19"
"2025-11-24";"3786.56"
"2025-11-24";"3791.85"
"2025-11-24";"4072.14"
"2025-11-24";"7091.87"
"2025-11-24";"7319.28"

"2025-11-25";"866.26"
"2025-11-25";"986.57"
"2025-11-25";"1131.73"
"2025-11-25";"1263.95"
"2025-11-25";"1279.81"
"2025-11-25";"1396.16"
"2025-11-25";"1412.02"
"2025-11-25";"1507.22"
"2025-11-25";"1544.24"
"2025-11-25";"1560.10"
"2025-11-25";"1612.99"
"2025-11-25";"1623.56"
"2025-11-25";"1671.16"
"2025-11-25";"1755.78"
"2025-11-25";"1771.64"
"2025-11-25";"1877.41"
"2025-11-25";"1909.14"
"2025-11-25";"1967.32"
"2025-11-25";"1993.76"
"2025-11-25";"2045.33"
"2025-11-25";"2046.64"
"2025-11-25";"2057.22"
"2025-11-25";"2073.09"
"2025-11-25";"2136.55"
"2025-11-25";"2141.84"
"2025-11-25";"2165.65"
"2025-11-25";"2205.30"
"2025-11-25";"2221.17"
"2025-11-25";"2226.45"
"2025-11-25";"2311.07"
"2025-11-25";"2379.82"
"2025-11-25";"2739.44"
"2025-11-25";"2765.88"
"2025-11-25";"2776.46"
"2025-11-25";"2850.50"
"2025-11-25";"3062.04"
"2025-11-25";"3194.25"
"2025-11-25";"5013.49"
"2025-11-25";"5140.42"
"2025-11-25";"5367.82"

"2025-11-26";"1163.47"
"2025-11-26";"1216.35"
"2025-11-26";"1348.56"
"2025-11-26";"1375.01"
"2025-11-26";"1396.16"
"2025-11-26";"1427.89"
"2025-11-26";"1480.78"
"2025-11-26";"1544.24"
"2025-11-26";"1560.10"
"2025-11-26";"1665.87"
"2025-11-26";"1909.14"
"2025-11-26";"1993.76"
"2025-11-26";"2036.07"
"2025-11-26";"2057.22"
"2025-11-26";"2136.55"
"2025-11-26";"2141.84"
"2025-11-26";"2300.49"
"2025-11-26";"2353.38"
"2025-11-26";"2379.82"
"2025-11-26";"2512.03"
