"date";"price_brl"
"2025-11-14";"1533.31"
"2025-11-14";"1672.71"
"2025-11-14";"3274.84"
"2025-11-14";"3406.89"
"2025-11-14";"4452.72"

"2025-11-15";"1933.21"
"2025-11-15";"2081.10"
"2025-11-15";"2720.23"
"2025-11-15";"2868.12"
"2025-11-15";"3982.62"
"2025-11-15";"5503.84"
"2025-11-15";"5730.97"
"2025-11-15";"6164.09"
"2025-11-15";"6391.22"

"2025-11-16";"2450.84"
"2025-11-16";"2598.74"
"2025-11-16";"2720.23"
"2025-11-16";"2868.12"
"2025-11-16";"5503.84"
"2025-11-16";"5730.97"
"2025-11-16";"8107.87"
"2025-11-16";"8334.99"

"2025-11-17";"3845.29"
"2025-11-17";"4331.24"
"2025-11-17";"8107.87"
"2025-11-17";"8334.99"

"2025-11-18";"2450.84"
"2025-11-18";"2598.74"
"2025-11-18";"2720.23"
"2025-11-18";"2868.12"
"2025-11-18";"3137.50"
"2025-11-18";"3850.57"
"2025-11-18";"4273.13"
"2025-11-18";"5007.33"
"2025-11-18";"5033.74"
"2025-11-18";"5260.87"
"2025-11-18";"5540.81"
"2025-11-18";"9122.01"

"2025-11-19";"2450.84"
"2025-11-19";"2598.74"
"2025-11-19";"2720.23"
"2025-11-19";"2868.12"
"2025-11-19";"4172.78"
"2025-11-19";"4273.13"
"2025-11-19";"5033.74"
"2025-11-19";"5260.87"
"2025-11-19";"5752.09"
"2025-11-19";"7072.59"

"2025-11-20";"2720.23"
"2025-11-20";"2868.12"
"2025-11-20";"3126.94"
"2025-11-20";"3354.07"
"2025-11-20";"4067.14"
"2025-11-20";"4273.13"
"2025-11-20";"4325.95"
"2025-11-20";"4526.67"
"2025-11-20";"4537.23"
"2025-11-20";"4553.08"
"2025-11-20";"6507.42"

"2025-11-21";"2450.84"
"2025-11-21";"2598.74"
"2025-11-21";"3982.62"
"2025-11-21";"4067.14"
"2025-11-21";"4273.13"
"2025-11-21";"5477.43"
"2025-11-21";"6227.47"

"2025-11-22";"1457.83"
"2025-11-22";"1605.72"
"2025-11-22";"1690.24"
"2025-11-22";"1848.70"
"2025-11-22";"1996.59"
"2025-11-22";"2054.69"
"2025-11-22";"3354.07"
"2025-11-22";"3734.37"
"2025-11-22";"3982.62"
"2025-11-22";"4463.29"
"2025-11-22";"6433.47"
"2025-11-22";"6660.60"
"2025-11-22";"6982.80"
"2025-11-22";"7209.93"

"2025-11-23";"1774.75"
"2025-11-23";"1933.21"
"2025-11-23";"2033.57"
"2025-11-23";"2049.41"
"2025-11-23";"2081.10"
"2025-11-23";"2123.36"
"2025-11-23";"2720.23"
"2025-11-23";"2868.12"
"2025-11-23";"4067.14"
"2025-11-23";"5910.55"
"2025-11-23";"6433.47"
"2025-11-23";"6660.60"
"2025-11-23";"6982.80"
"2025-11-23";"7209.93"

"2025-11-24";"812.90"
"2025-11-24";"826.45"
"2025-11-24";"963.43"
"2025-11-24";"979.50"
"2025-11-24";"1848.70"
"2025-11-24";"1933.21"
"2025-11-24";"1996.59"
"2025-11-24";"2081.10"
"2025-11-24";"2720.23"
"2025-11-24";"2868.12"
"2025-11-24";"2910.38"
"2025-11-24";"3079.40"
"2025-11-24";"3734.37"
"2025-11-24";"6982.80"
"2025-11-24";"7537.41"

"2025-11-25";"720.99"
"2025-11-25";"841.16"
"2025-11-25";"1204.29"
"2025-11-25";"1352.19"
"2025-11-25";"1457.83"
"2025-11-25";"1848.70"
"2025-11-25";"1933.21"
"2025-11-25";"1996.59"
"2025-11-25";"2033.57"
"2025-11-25";"2081.10"
"2025-11-25";"2672.69"
"2025-11-25";"2693.82"
"2025-11-25";"2994.89"
"2025-11-25";"3258.99"
