"date";"price_brl"
"2025-11-14";"2090.00"
"2025-11-14";"2267.01"
"2025-11-14";"2267.91"
"2025-11-14";"2402.01"
"2025-11-14";"2402.91"
"2025-11-14";"2699.91"
"2025-11-14";"2700.81"
"2025-11-14";"2843.91"
"2025-11-14";"2844.81"
"2025-11-14";"3499.00"
"2025-11-14";"3601.66"

"2025-11-15";"2700.81"
"2025-11-15";"2844.81"
"2025-11-15";"3077.90"
"2025-11-15";"3242.06"
"2025-11-15";"3359.89"
"2025-11-15";"3499.00"
"2025-11-15";"3539.09"
"2025-11-15";"3569.88"
"2025-11-15";"3601.66"
"2025-11-15";"3760.28"

"2025-11-16";"2090.00"
"2025-11-16";"2699.91"
"2025-11-16";"2700.81"
"2025-11-16";"2843.91"
"2025-11-16";"2844.81"
"2025-11-16";"3023.90"
"2025-11-16";"3110.23"
"2025-11-16";"3131.89"
"2025-11-16";"3185.18"
"2025-11-16";"3298.93"
"2025-11-16";"3402.93"
"2025-11-16";"3499.00"
"2025-11-16";"3506.18"
"2025-11-16";"3525.83"
"2025-11-16";"3601.66"

"2025-11-17";"2090.00"
"2025-11-17";"2267.91"
"2025-11-17";"2402.91"
"2025-11-17";"2584.39"
"2025-11-17";"2675.07"
"2025-11-17";"2700.81"
"2025-11-17";"2720.41"
"2025-11-17";"2738.29"
"2025-11-17";"2834.37"
"2025-11-17";"2844.81"
"2025-11-17";"2882.41"
"2025-11-17";"3110.23"
"2025-11-17";"3185.89"
"2025-11-17";"3355.81"
"2025-11-17";"3402.93"
"2025-11-17";"3499.00"
"2025-11-17";"3506.18"
"2025-11-17";"3525.83"
"2025-11-17";"3601.66"

"2025-11-18";"2700.81"
"2025-11-18";"2793.34"
"2025-11-18";"2844.81"
"2025-11-18";"3056.14"
"2025-11-18";"3178.94"
"2025-11-18";"3185.89"
"2025-11-18";"3194.66"
"2025-11-18";"3212.89"
"2025-11-18";"3306.66"
"2025-11-18";"3317.46"
"2025-11-18";"3355.81"
"2025-11-18";"3384.25"
"2025-11-18";"3445.17"
"2025-11-18";"3484.90"
"2025-11-18";"3499.00"
"2025-11-18";"3587.13"
"2025-11-18";"3601.66"

"2025-11-19";"2793.34"
"2025-11-19";"3056.14"
"2025-11-19";"3178.94"
"2025-11-19";"3306.66"
"2025-11-19";"3484.90"
"2025-11-19";"3499.00"
"2025-11-19";"3587.13"
"2025-11-19";"3601.66"

"2025-11-20";"2793.34"
"2025-11-20";"3056.14"
"2025-11-20";"3178.94"
"2025-11-20";"3306.66"
"2025-11-20";"3484.90"
"2025-11-20";"3499.00"
"2025-11-20";"3587.13"
"2025-11-20";"3601.66"

"2025-11-21";"2400.90"
"2025-11-21";"2471.36"
"2025-11-21";"2481.44"
"2025-11-21";"2604.24"
"2025-11-21";"2712.30"
"2025-11-21";"2920.77"
"2025-11-21";"2974.90"
"2025-11-21";"3062.18"
"2025-11-21";"3194.66"
"2025-11-21";"3239.89"
"2025-11-21";"3317.46"
"2025-11-21";"3412.69"
"2025-11-21";"3445.17"
"2025-11-21";"3499.00"
"2025-11-21";"3601.66"

"2025-11-22";"1556.01"
"2025-11-22";"1691.01"
