"date";"price_brl"
"2025-11-24";"279.61"
"2025-11-25";"279.61"
"2025-12-01";"262.25"
"2025-12-02";"262.25"
"2025-12-03";"262.25"
"2025-12-04";"262.25"
"2025-12-05";"262.25"
"2025-12-06";"262.25"
"2025-12-07";"262.25"
"2025-12-09";"262.25"
"2025-12-10";"262.25"
"2025-12-11";"262.25"
"2025-12-12";"262.25"
"2026-01-11";"320.55"
"2026-01-12";"320.55"
"2026-01-12";"393.90"
"2026-01-13";"372.47"
"2026-01-14";"372.47"
"2026-01-15";"372.47"
"2026-01-16";"320.55"
"2026-01-16";"393.90"
"2026-01-17";"356.16"
"2026-01-17";"393.90"
"2026-01-18";"320.55"
"2026-01-18";"393.90"
"2026-01-19";"320.55"
"2026-01-19";"393.90"
"2026-01-20";"320.55"
"2026-01-20";"393.90"
"2026-01-21";"320.55"
"2026-01-21";"393.90"
"2026-01-22";"356.16"
"2026-01-22";"393.90"
"2026-01-23";"356.16"
"2026-01-23";"393.90"
"2026-01-24";"320.55"
"2026-01-24";"393.90"
"2026-01-25";"320.55"
"2026-01-25";"393.90"
"2026-01-26";"320.55"
"2026-01-26";"393.90"
"2026-01-27";"356.16"
"2026-01-27";"393.90"
"2026-01-29";"356.16"
"2026-01-29";"393.90"
"2026-01-30";"356.16"
"2026-01-30";"393.90"
"2026-01-31";"356.16"
"2026-01-31";"393.90"
"2026-02-01";"356.16"
"2026-02-01";"393.90"
"2026-02-02";"356.16"
"2026-02-02";"393.90"
"2026-02-03";"325.40"
"2026-02-03";"359.90"
"2026-02-04";"325.40"
"2026-02-04";"359.90"
"2026-02-08";"325.40"
"2026-02-08";"359.90"
"2026-02-09";"325.40"
"2026-02-09";"359.90"
"2026-02-10";"325.40"
"2026-02-10";"359.90"
