"date";"price_brl"
"2025-12-09";"473.38"
"2025-12-14";"476.01"
"2025-12-15";"386.85"
"2026-01-12";"445.35"
"2026-01-12";"487.90"
"2026-01-13";"445.35"
"2026-01-13";"487.90"
"2026-01-14";"487.90"
"2026-01-15";"445.35"
"2026-01-15";"487.90"
"2026-01-19";"445.35"
"2026-01-19";"487.90"
"2026-01-20";"442.10"
"2026-01-20";"445.35"
"2026-01-20";"487.90"
"2026-01-21";"445.35"
"2026-01-21";"487.90"
"2026-01-23";"445.35"
"2026-01-23";"487.90"
"2026-01-24";"352.91"
"2026-01-24";"445.35"
"2026-01-24";"487.90"
"2026-01-25";"324.07"
"2026-01-25";"445.35"
"2026-01-25";"487.90"
"2026-01-26";"445.35"
"2026-01-26";"487.90"
"2026-01-27";"428.31"
"2026-01-27";"445.35"
"2026-01-27";"487.90"
"2026-01-28";"428.31"
"2026-01-28";"445.35"
"2026-01-28";"487.90"
"2026-01-29";"428.31"
"2026-01-29";"445.35"
"2026-01-29";"476.01"
"2026-01-29";"487.90"
"2026-01-30";"445.35"
"2026-01-30";"476.01"
"2026-01-30";"487.90"
"2026-01-31";"324.07"
"2026-01-31";"428.31"
"2026-01-31";"445.35"
"2026-01-31";"483.99"
"2026-01-31";"487.90"
"2026-02-01";"476.01"
"2026-02-02";"445.35"
"2026-02-02";"476.01"
"2026-02-02";"487.90"
"2026-02-03";"406.08"
"2026-02-03";"444.90"
"2026-02-03";"476.01"
"2026-02-04";"406.08"
"2026-02-04";"428.31"
"2026-02-04";"444.90"
"2026-02-04";"471.14"
"2026-02-05";"406.08"
"2026-02-05";"444.90"
"2026-02-05";"492.56"
"2026-02-06";"406.08"
"2026-02-06";"428.31"
"2026-02-06";"444.90"
"2026-02-06";"471.14"
"2026-02-06";"476.01"
"2026-02-07";"324.07"
"2026-02-07";"406.08"
"2026-02-07";"428.31"
"2026-02-07";"444.90"
"2026-02-07";"471.14"
"2026-02-09";"406.08"
"2026-02-09";"444.90"
