"date";"price_brl"
"2026-01-17";"489.64"
"2026-01-19";"489.64"
"2026-01-21";"313.72"
"2026-01-21";"489.64"
"2026-01-24";"489.64"
"2026-01-26";"313.72"
"2026-01-26";"489.64"
"2026-01-27";"489.64"
"2026-01-28";"489.64"
"2026-01-29";"489.64"
"2026-01-30";"489.64"
"2026-01-31";"489.64"
"2026-01-31";"496.72"
"2026-02-01";"489.64"
"2026-02-02";"489.64"
"2026-02-03";"489.64"
"2026-02-04";"489.64"
"2026-02-04";"494.91"
"2026-02-06";"494.91"
"2026-02-08";"494.91"
"2026-02-09";"494.91"
"2026-02-10";"489.64"
"2026-02-10";"494.91"
