"date";"price_brl"
"2026-01-28";"399.90"
"2026-01-29";"365.01"
"2026-01-29";"399.90"
"2026-01-31";"399.90"
"2026-02-03";"365.01"
"2026-02-03";"399.90"
"2026-02-04";"365.01"
"2026-02-04";"399.90"
"2026-02-05";"328.50"
"2026-02-05";"359.90"
"2026-02-05";"365.01"
"2026-02-05";"399.90"
"2026-02-06";"328.50"
"2026-02-06";"359.90"
"2026-02-06";"365.01"
"2026-02-06";"399.90"
"2026-02-07";"365.01"
"2026-02-07";"399.90"
"2026-02-08";"365.01"
"2026-02-08";"399.90"
"2026-02-09";"365.01"
"2026-02-09";"399.90"
"2026-02-10";"328.50"
"2026-02-10";"359.90"
"2026-02-10";"365.01"
"2026-02-10";"399.90"
