"date";"price_brl"
"2025-11-28";"794.07"
"2025-12-02";"674.96"
"2025-12-02";"777.23"
"2025-12-02";"794.07"
"2025-12-05";"714.66"
"2025-12-05";"794.07"
"2025-12-12";"794.07"
"2025-12-23";"793.27"
"2025-12-24";"793.27"
"2025-12-30";"793.27"
"2025-12-31";"793.27"
"2026-01-01";"793.27"
"2026-01-05";"793.27"
"2026-01-06";"793.27"
"2026-01-07";"793.27"
"2026-01-08";"793.27"
"2026-01-09";"793.27"
"2026-01-12";"793.27"
"2026-01-13";"793.27"
"2026-01-14";"793.27"
"2026-01-15";"793.27"
"2026-01-17";"704.62"
"2026-01-17";"793.27"
"2026-01-18";"793.27"
"2026-01-19";"793.27"
"2026-01-20";"793.27"
"2026-01-21";"793.27"
"2026-01-22";"793.27"
"2026-01-23";"793.27"
"2026-01-24";"793.27"
"2026-01-25";"793.27"
"2026-01-26";"793.27"
"2026-01-27";"793.27"
"2026-01-28";"793.27"
"2026-01-29";"793.27"
"2026-01-31";"704.62"
"2026-02-01";"793.27"
"2026-02-02";"793.27"
"2026-02-03";"793.27"
"2026-02-04";"793.27"
"2026-02-05";"793.27"
"2026-02-09";"793.27"
"2026-02-10";"793.27"
"2026-02-11";"793.27"
"2026-02-16";"793.27"
"2026-02-17";"793.27"
"2026-02-18";"793.27"
"2026-02-19";"793.27"
"2026-02-20";"794.07"
"2026-02-21";"793.27"
"2026-02-22";"793.27"
"2026-02-23";"793.27"
"2026-02-24";"793.27"
"2026-02-25";"793.27"
"2026-02-26";"793.27"
"2026-02-27";"793.27"
"2026-02-27";"794.07"
"2026-02-28";"793.27"
"2026-03-01";"793.27"
"2026-03-02";"793.27"
"2026-03-02";"794.07"
"2026-03-03";"793.27"
"2026-03-03";"794.07"
"2026-03-04";"793.27"
"2026-03-05";"793.27"
"2026-03-06";"793.27"
"2026-03-06";"794.07"
"2026-03-07";"793.27"
"2026-03-08";"793.27"
"2026-03-09";"793.27"
"2026-03-09";"794.07"
"2026-03-10";"793.27"
"2026-03-10";"794.07"
"2026-03-11";"793.27"
"2026-03-12";"793.27"
