"date";"price_brl"
"2025-11-25";"720.99"
"2025-12-01";"551.56"
"2025-12-01";"584.00"
"2025-12-01";"653.70"
"2025-12-01";"692.16"
"2025-12-01";"772.18"
"2025-12-02";"791.65"
"2025-12-05";"584.00"
"2025-12-05";"692.16"
"2025-12-06";"648.89"
"2025-12-06";"769.06"
"2025-12-08";"694.56"
"2025-12-08";"776.27"
"2025-12-08";"796.70"
"2025-12-12";"759.20"
"2025-12-15";"677.42"
"2025-12-16";"792.58"
"2025-12-21";"677.42"
"2025-12-21";"799.35"
"2025-12-22";"792.58"
"2025-12-23";"734.19"
"2025-12-24";"734.19"
"2025-12-26";"785.80"
"2025-12-28";"792.58"
"2025-12-29";"792.58"
"2025-12-30";"734.19"
"2025-12-31";"734.19"
"2026-01-01";"734.19"
"2026-01-02";"734.19"
"2026-01-05";"734.19"
"2026-01-05";"799.35"
"2026-01-06";"734.19"
"2026-01-06";"792.58"
"2026-01-07";"734.19"
"2026-01-08";"734.19"
"2026-01-09";"677.42"
"2026-01-09";"734.19"
"2026-01-10";"677.42"
"2026-01-12";"677.42"
"2026-01-12";"734.19"
"2026-01-13";"734.19"
"2026-01-13";"779.03"
"2026-01-14";"734.19"
"2026-01-16";"677.42"
"2026-01-17";"575.80"
"2026-01-17";"682.43"
"2026-01-17";"734.19"
"2026-01-18";"734.19"
"2026-01-19";"677.42"
"2026-01-19";"734.19"
"2026-01-20";"677.42"
"2026-01-20";"734.19"
"2026-01-21";"734.19"
"2026-01-22";"734.19"
"2026-01-23";"677.42"
"2026-01-23";"734.19"
"2026-01-24";"734.19"
"2026-01-25";"734.19"
"2026-01-26";"677.42"
"2026-01-26";"734.19"
"2026-01-27";"734.19"
"2026-01-27";"758.71"
"2026-01-28";"734.19"
"2026-01-30";"677.42"
"2026-01-31";"575.80"
"2026-01-31";"682.43"
"2026-02-01";"734.19"
"2026-02-02";"677.42"
"2026-02-02";"734.19"
"2026-02-03";"734.19"
"2026-02-03";"746.23"
"2026-02-04";"734.19"
"2026-02-05";"734.19"
"2026-02-09";"648.89"
"2026-02-09";"734.19"
"2026-02-09";"769.06"
"2026-02-10";"648.89"
"2026-02-10";"734.19"
"2026-02-10";"769.06"
"2026-02-11";"734.19"
"2026-02-13";"677.42"
"2026-02-16";"648.89"
"2026-02-16";"734.19"
"2026-02-16";"769.06"
"2026-02-17";"677.42"
"2026-02-17";"734.19"
"2026-02-18";"734.19"
"2026-02-19";"734.19"
"2026-02-20";"551.56"
"2026-02-20";"653.70"
"2026-02-21";"734.19"
"2026-02-23";"734.19"
"2026-02-24";"734.19"
"2026-02-25";"734.19"
"2026-03-01";"734.19"
"2026-03-02";"734.19"
"2026-03-03";"734.19"
"2026-03-04";"734.19"
"2026-03-07";"734.19"
"2026-03-08";"734.19"
"2026-03-09";"734.19"
"2026-03-10";"734.19"
"2026-03-11";"734.19"
"2026-03-12";"734.19"
"2026-03-13";"734.19"
